X1 cel podstawowe
0.0 0.0 -4.3989413386596933E-4
1.0 1.3862943611198906 1.4001669240990586
2.0 2.1972245773362196 2.18838552898695
3.0 2.772588722239781 2.7675756298092127
4.0 3.2188758248682006 3.2189233688676566
5.0 3.58351893845611 3.586272085519456
6.0 3.8918202981106265 3.8952452858495397
7.0 4.1588830833596715 4.161765198196417
8.0 4.394449154672439 4.396229239408501
9.0 4.605170185988092 4.605714307001039
10.0 4.795790545596741 4.795210597148418
11.0 4.969813299576001 4.968346374504159
12.0 5.1298987149230735 5.127831398192335
13.0 5.278114659230517 5.275737891099937
14.0 5.41610040220442 5.413684119686855
15.0 5.545177444479562 5.5429576526057405
16.0 5.666426688112432 5.664600161613792
17.0 5.780743515792329 5.779467060240727
18.0 5.8888779583328805 5.8882702889488785
19.0 5.991464547107982 5.991609568797862
20.0 6.089044875446846 6.089995610107031
21.0 6.182084906716632 6.183867607826545
22.0 6.270988431858299 6.273606612999178
23.0 6.3561076606958915 6.359545882890194
24.0 6.437751649736401 6.435116510624414
25.0 6.516193076042964 6.514987179604708
26.0 6.591673732008658 6.591777015304234
27.0 6.664409020350408 6.665699879157486
28.0 6.734591659972948 6.736948829138642
29.0 6.802394763324311 6.8056988147402
30.0 6.8679744089702925 6.872108929568689
31.0 6.931471805599453 6.926281167370686
32.0 6.9930151229329605 6.988918344914891
33.0 7.052721049232323 7.049593656253402
34.0 7.110696122978827 7.108419300259098
35.0 7.16703787691222 7.165498896503386
36.0 7.221835825288449 7.220928328674308
37.0 7.275172319452771 7.274796483058973
38.0 7.327123292259293 7.327185898310809
39.0 7.3777589082278725 7.378173339757432
40.0 7.427144133408616 7.427830309208495
41.0 7.475339236566737 7.476223499507296
42.0 7.522400231387125 7.523415202030387
43.0 7.568379267836522 7.569463675723626
44.0 7.613324979540639 7.6144234923047955
45.0 7.65728279297819 7.658345917078919
46.0 7.700295203420117 7.701280073871371
47.0 7.742402021815782 7.743259212175366
48.0 7.783640596221253 7.784348484313017
49.0 7.824046010856292 7.824571924547646
50.0 7.8636512654486515 7.863970059517778
51.0 7.902487437162855 7.902578519053581
52.0 7.940583827104244 7.940430749611274
53.0 7.977968093128549 7.977558298945135
54.0 8.014666370464942 8.014788056825653
55.0 8.0507033814703 8.05051094063411
56.0 8.0861025356691 8.085595184363822
57.0 8.120886021092838 8.120065966822475
58.0 8.15507488781144 8.153947147513817
59.0 8.1886891244442 8.187261352001428
60.0 8.221747728346623 8.220030050250916
61.0 8.254268770090183 8.254296386120863
62.0 8.286269452783065 8.285972995055507
63.0 8.317766166719343 8.31716623644204
64.0 8.348774539791274 8.347893449834087
65.0 8.37930948405285 8.378171146975246
66.0 8.409385238781931 8.408015060445434
67.0 8.439015410352214 8.437440188908214
68.0 8.46821300919452 8.466460839235733
69.0 8.496990484098719 8.495090665762062
70.0 8.525359754082631 8.523342706892548
71.0 8.55333223803211 8.55122941927614
72.0 8.580918882296782 8.578762709729032
73.0 8.60813018640834 8.605953965081325
74.0 8.63497622707262 8.632814080103419
75.0 8.661466680572662 8.659353483655286
76.0 8.687610843707368 8.68558216318962
77.0 8.713417653379183 8.711509687728842
78.0 8.738895704934043 8.737145229425922
79.0 8.764053269347762 8.76249758381
80.0 8.788898309344878 8.787575188809535
81.0 8.813438494528507 8.812386142638326
82.0 8.837681215593197 8.836938220622905
83.0 8.861633597686627 8.861238891043676
84.0 8.885302512980633 8.88529533005658
85.0 8.908694592507015 8.909114435756823
86.0 8.931816237309167 8.932702841441674
87.0 8.954673628956414 8.956066928124914
88.0 8.97727273946428 8.979212836351648
89.0 8.99961934066053 9.002146477358629
90.0 9.0217190130337 9.024873543621874
91.0 9.043577154098081 9.045513070859839
92.0 9.065198986306513 9.067702959422858
93.0 9.086589564540008 9.089656531381992
94.0 9.107753783201082 9.11135627017222
95.0 9.128696382935672 9.132766521143486
96.0 9.149421957006766 9.153811056147454
97.0 9.169934957341145 9.174305777629803
98.0 9.19023970026918 9.19368968906402
99.0 9.210340371976184 9.209144463514095
