X1 cel podstawowe
-10.0 -5051.0 -5050.936813082966
-9.797979797979798 -4753.444236261193 -4753.426016747288
-9.595959595959595 -4467.884774693161 -4467.90176663273
-9.393939393939394 -4194.074268859393 -4194.040905131291
-9.191919191919192 -3931.7653723233766 -3931.7579321149747
-8.98989898989899 -3680.710738648602 -3680.722794389704
-8.787878787878787 -3440.6630213985577 -3440.6891775612976
-8.585858585858587 -3211.3748741367363 -3211.410634026778
-8.383838383838384 -2992.5989504266213 -2992.640719697617
-8.181818181818182 -2784.0879038317053 -2784.1318451353945
-7.979797979797979 -2585.594387915477 -2585.6386797647433
-7.777777777777778 -2396.8710562414267 -2396.913537362321
-7.575757575757576 -2217.670562373042 -2217.7096089556853
-7.373737373737374 -2047.745559873812 -2047.7799322592236
-7.171717171717171 -1886.8487023072266 -1886.8774860235683
-6.96969696969697 -1734.7326432367754 -1734.7552034554176
-6.767676767676768 -1591.1500362259471 -1591.1659790275953
-6.565656565656566 -1455.8535348382302 -1455.892328543995
-6.363636363636363 -1328.5957926371148 -1328.6260452283884
-6.161616161616162 -1209.12946318609 -1209.1514353958012
-5.959595959595959 -1097.2072000486448 -1097.2212701233543
-5.757575757575758 -992.5816567882684 -992.588301117873
-5.555555555555555 -895.0054869684499 -895.0052628173755
-5.353535353535354 -804.2313441526787 -804.2248742422232
-5.151515151515151 -720.011881904444 -719.9998406348983
-4.94949494949495 -642.0997537872348 -642.082854922175
-4.747474747474747 -570.2476133645403 -570.2265990294275
-4.545454545454546 -504.2081141998499 -504.1837450739383
-4.343434343434343 -443.7339098566524 -443.7069564621651
-4.141414141414142 -388.57765389843763 -388.54888891506243
-3.9393939393939394 -338.4919998886941 -338.4621914456825
-3.737373737373738 -293.22960139091157 -293.1995073145255
-3.5353535353535355 -252.54311196857876 -252.51347499044553
-3.333333333333333 -216.1851851851851 -216.15672914830697
-3.1313131313131315 -183.90847460421998 -183.88190173837975
-2.929292929292929 -155.46563378917216 -155.44162316485995
-2.7272727272727275 -130.60931630353122 -130.5885236065728
-2.525252525252525 -109.09217571078605 -109.07523448773014
-2.3232323232323235 -90.66686557442605 -90.65439002286472
-2.121212121212121 -75.08603945794027 -75.07862851553578
-1.9191919191919187 -62.10235092481799 -62.1005923980091
-1.717171717171718 -51.46845353854847 -51.47292400912617
-1.5151515151515156 -42.937000862620714 -42.948248126645055
-1.3131313131313131 -36.26064646052402 -36.2791129903153
-1.1111111111111107 -31.19204389574759 -31.2177931906749
-0.9090909090909101 -27.48384673178063 -27.51558429506119
-0.7070707070707076 -24.888708532112272 -24.91996576366214
-0.5050505050505052 -23.159282860231745 -23.16191849514021
-0.30303030303030276 -22.04822327962824 -21.91813903863522
-0.10101010101010033 -21.308183353790945 -21.0138984257173
0.10101010101010033 -20.691816646209055 -20.469527450820127
0.30303030303030276 -19.95177672037176 -19.811418317797784
0.5050505050505052 -18.840717139768255 -18.747877790344237
0.7070707070707076 -17.111291467887728 -17.046980965316326
0.9090909090909083 -14.516153268219396 -14.470472957792587
1.1111111111111107 -10.807956104252408 -10.775311036574616
1.3131313131313131 -5.739353539475976 -5.716310058744899
1.5151515151515156 0.9370008626207138 0.9526918008634198
1.7171717171717162 9.468453538548381 9.478334621965686
1.9191919191919187 20.10235092481799 20.10751092617354
2.121212121212121 33.086039457940274 33.08725706823328
2.3232323232323235 48.666865574426055 48.66469864440931
2.525252525252524 67.09217571078597 67.08702235956909
2.7272727272727266 88.6093163035311 88.601461358133
2.929292929292929 113.46563378917216 113.45528738981515
3.1313131313131315 141.90847460421998 141.89580618318215
3.333333333333334 174.1851851851853 174.17035395759262
3.5353535353535346 210.5431119685786 210.5262939125802
3.737373737373737 251.22960139091134 251.21101212598822
3.9393939393939394 296.4919998886941 296.4719127013136
4.141414141414142 346.57765389843763 346.5564122794978
4.3434343434343425 401.73390985665213 401.7119341897216
4.545454545454545 462.2081141998496 462.1859025727175
4.747474747474747 528.2476133645403 528.2257367893377
4.94949494949495 600.0997537872348 600.0721970888301
5.1515151515151505 678.0118819044435 677.9856463456429
5.353535353535353 762.2313441526784 762.2071052610813
5.555555555555555 853.0054869684499 852.9916869048145
5.757575757575758 950.5816567882684 950.5716561768415
5.9595959595959584 1055.2072000486442 1055.2016695459026
6.161616161616163 1167.1294631860908 1167.129006577754
6.363636363636363 1286.5957926371148 1286.5914912743326
6.565656565656564 1413.853534838229 1413.854721862544
6.767676767676768 1549.1500362259471 1549.1569070578985
6.969696969696969 1692.732643236775 1692.7451943643423
7.171717171717173 1844.848702307228 1844.866692443882
7.373737373737374 2005.745559873812 2005.7684678340686
7.575757575757574 2175.6705623730404 2175.6975411884496
7.777777777777779 2354.8710562414276 2354.900882746054
7.979797979797979 2543.594387915477 2543.625403835822
8.18181818181818 2742.0879038317034 2742.117767766438
8.383838383838384 2950.5989504266213 2950.625536087012
8.585858585858585 3169.374874136734 3169.394573760707
8.787878787878789 3398.6630213985604 3398.671953655044
8.98989898989899 3638.710738648602 3638.704350420414
9.19191919191919 3889.7653723233743 3889.7384813615063
9.393939393939394 4152.074268859393 4152.021190626283
9.595959595959595 4425.884774693161 4425.820466529109
9.7979797979798 4711.444236261195 4711.343556143233
10.0 5009.0 5008.859330596507
