X1 cel rozszerzone
-1.0 -29.0 -23.993462369202874
-0.9933110367892977 -28.880268299244257 -23.96139106027205
-0.9866220735785953 -28.76186988697986 -23.92875466044474
-0.979933110367893 -28.644795784833125 -23.895547075708066
-0.9732441471571907 -28.52903701443038 -23.861762408541523
-0.9665551839464883 -28.41458459739794 -23.82739497009139
-0.959866220735786 -28.30142955536213 -23.792439292468302
-0.9531772575250836 -28.189562909949267 -23.75689014115293
-0.9464882943143813 -28.07897568278568 -23.72074252749409
-0.939799331103679 -27.96965889549768 -23.68399172128251
-0.9331103678929766 -27.861603569711594 -23.646633263383187
-0.9264214046822743 -27.754800727053738 -23.608662978408326
-0.919732441471572 -27.649241389150436 -23.57007698741221
-0.9130434782608696 -27.544916577628012 -23.53087172058872
-0.9063545150501673 -27.441817314112782 -23.49104392995142
-0.8996655518394648 -27.339934620231066 -23.450590701975802
-0.8929765886287625 -27.23925951760919 -23.409509470182194
-0.8862876254180602 -27.139783027873474 -23.36779802763767
-0.8795986622073578 -27.041496172650234 -23.32545453935452
-0.8729096989966555 -26.944389973565798 -23.282477554562234
-0.8662207357859532 -26.84845545224648 -23.2388660188296
-0.8595317725752508 -26.753683630318605 -23.194619286012966
-0.8528428093645485 -26.66006552940849 -23.14973713000616
-0.8461538461538461 -26.567592171142465 -23.104219756267334
-0.8394648829431438 -26.476254577146847 -23.05806781309743
-0.8327759197324415 -26.386043769047948 -23.011282402644806
-0.8260869565217391 -26.296950768472094 -22.963865091610128
-0.8193979933110368 -26.208966597045613 -22.915817921625425
-0.8127090301003345 -26.12208227639482 -22.867143419281014
-0.8060200668896321 -26.036288828146034 -22.817844605773935
-0.7993311036789298 -25.95157727392558 -22.767925006151145
-0.7926421404682275 -25.867938635359778 -22.717388658121084
-0.7859531772575251 -25.785363934074944 -22.666240120406876
-0.7792642140468228 -25.703844191697407 -22.614484480614635
-0.7725752508361204 -25.62337042985348 -22.56212736259058
-0.7658862876254181 -25.543933670169494 -22.50917493324048
-0.7591973244147157 -25.465524934271755 -22.455633908785675
-0.7525083612040133 -25.3881352437866 -22.401511560429874
-0.745819397993311 -25.311755620340342 -22.34681571941132
-0.7391304347826086 -25.236377085559297 -22.291554781415595
-0.7324414715719063 -25.161990661069797 -22.235737710324475
-0.725752508361204 -25.088587368498157 -22.179374041277185
-0.7190635451505016 -25.016158229470697 -22.122473883020696
-0.7123745819397993 -24.944694265613737 -22.06504791952664
-0.705685618729097 -24.874186498553602 -22.007107410853127
-0.6989966555183946 -24.804625949916613 -21.948664193230506
-0.6923076923076923 -24.736003641329084 -21.88973067835109
-0.68561872909699 -24.668310594417346 -21.83031985184388
-0.6789297658862876 -24.60153783080771 -21.770445270916284
-0.6722408026755853 -24.535676372126503 -21.71012106114592
-0.6655518394648829 -24.470717240000045 -21.64936191240688
-0.6588628762541806 -24.406651456054657 -21.58818307391603
-0.6521739130434783 -24.34347004191666 -21.526600348386047
-0.6454849498327759 -24.281164019212373 -21.464630085273726
-0.6387959866220736 -24.21972440956812 -21.40228917311277
-0.6321070234113713 -24.159142234610215 -21.339595030922744
-0.6254180602006689 -24.09940851596499 -21.276565598686474
-0.6187290969899666 -24.040514275258758 -21.213219326890332
-0.6120401337792643 -23.982450534117838 -21.149575165123526
-0.6053511705685619 -23.925208314168557 -21.085652549733773
-0.5986622073578596 -23.868778637037234 -21.02147139053904
-0.5919732441471572 -23.81315252435019 -20.957052056596424
-0.5852842809364549 -23.758320997733748 -20.8924153610313
-0.5785953177257526 -23.704275078814224 -20.827582544931705
-0.5719063545150502 -23.65100578921794 -20.76257526031469
-0.5652173913043479 -23.598504150571216 -20.69741555217363
-0.5585284280936456 -23.54676118450038 -20.632125839617125
-0.5518394648829432 -23.495767912631745 -20.566728896112224
-0.5451505016722409 -23.445515356591635 -20.50124782884693
-0.5384615384615385 -23.395994538006374 -20.435706057228536
-0.5317725752508362 -23.347196478502276 -20.37012729053678
-0.5250836120401338 -23.299112199705668 -20.304535504752586
-0.5183946488294314 -23.251732723242867 -20.23895491858536
-0.5117056856187291 -23.205049070740195 -20.17340996872358
-0.5050167224080268 -23.159052263823973 -20.10792528433586
-0.4983277591973244 -23.113733324120524 -20.042525660851148
-0.4916387959866221 -23.06908327325617 -19.977236033049138
-0.48494983277591974 -23.025093132857222 -19.912081447493605
-0.4782608695652174 -22.981753924550013 -19.847087034343566
-0.47157190635451507 -22.939056669960856 -19.78227797857872
-0.46488294314381273 -22.89699239071608 -19.717679490677792
-0.4581939799331104 -22.855552108441994 -19.653316776789936
-0.45150501672240806 -22.81472684476493 -19.589215008441222
-0.4448160535117057 -22.7745076213112 -19.525399291819753
-0.4381270903010034 -22.734885459707137 -19.461894636684825
-0.43143812709030105 -22.695851381579047 -19.398725924946717
-0.4247491638795987 -22.65739640855326 -19.33591787896554
-0.4180602006688964 -22.6195115622561 -19.273495029618548
-0.41137123745819404 -22.58218786431388 -19.21148168418699
-0.4046822742474917 -22.545416336352922 -19.14990189411449
-0.39799331103678925 -22.50918799999955 -19.088779422690234
-0.3913043478260869 -22.473493876880084 -19.028137712711043
-0.3846153846153846 -22.43832498862085 -18.967999854177627
-0.37792642140468224 -22.403672356848155 -18.908388552080712
-0.3712374581939799 -22.36952700318833 -18.849326094333822
-0.36454849498327757 -22.3358799492677 -18.790834319909674
-0.35785953177257523 -22.302722216712574 -18.7329345872379
-0.3511705685618729 -22.270044827149285 -18.675647742921957
-0.34448160535117056 -22.237838802204145 -18.618994090833382
-0.3377926421404682 -22.20609516350348 -18.56299336164151
-0.3311036789297659 -22.17480493267361 -18.507664682836868
-0.32441471571906355 -22.14395913134085 -18.453026549306145
-0.3177257525083612 -22.113548781131527 -18.399096794516378
-0.3110367892976589 -22.083564903671963 -18.345892562365563
-0.30434782608695654 -22.05399852058848 -18.293430279756194
-0.2976588628762542 -22.02484065350739 -18.241725629947748
-0.29096989966555187 -21.99608232405502 -18.19079352674296
-0.28428093645484953 -21.96771455385769 -18.14064808956209
-0.2775919732441472 -21.939728364541722 -18.091302619457938
-0.27090301003344486 -21.91211477773344 -18.042769576123348
-0.2642140468227425 -21.884864815059156 -17.99506055594149
-0.2575250836120402 -21.8579694981452 -17.948186271127508
-0.25083612040133785 -21.831419848617884 -17.902156530008916
-0.2441471571906355 -21.80520688810354 -17.85698021848981
-0.23745819397993317 -21.77932163822848 -17.812665282742522
-0.23076923076923084 -21.753755120619026 -17.769218713168165
-0.2240802675585284 -21.7284983569015 -17.72664652966531
-0.21739130434782605 -21.703542368702227 -17.684953768244
-0.21070234113712372 -21.678878177647523 -17.64414446901986
