X1 cel podstawowe
-1000.0 -5000003021.0 -5.000003020946174E9
-993.3110367892976 -4900338189.809474 -4.900338189753897E9
-986.6220735785953 -4802006647.110292 -4.802006647053152E9
-979.9331103678929 -4704999414.528777 -4.704999414470246E9
-973.2441471571906 -4609307513.691248 -4.609307513631501E9
-966.5551839464883 -4514921966.224028 -4.514921966163229E9
-959.866220735786 -4421833793.753435 -4.421833793691741E9
-953.1772575250836 -4330034017.905791 -4.330034017843353E9
-946.4882943143813 -4239513660.3074174 -4.2395136602443824E9
-939.7993311036789 -4150263742.584635 -4.1502637425211434E9
-933.1103678929766 -4062275286.3637652 -4.06227528629995E9
-926.4214046822742 -3975539313.2711277 -3.975539313207118E9
-919.7324414715719 -3890046844.933044 -3.890046844868963E9
-913.0434782608695 -3805788902.975836 -3.8057889029118013E9
-906.3545150501673 -3722756509.025824 -3.7227565089619513E9
-899.6655518394649 -3640940684.7093277 -3.6409406846457253E9
-892.9765886287626 -3560332451.652669 -3.5603324515894413E9
-886.2876254180602 -3480922831.4821687 -3.480922831419415E9
-879.5986622073578 -3402702845.824148 -3.4027028457619643E9
-872.9096989966555 -3325663516.3049273 -3.325663516243405E9
-866.2207357859531 -3249795864.550828 -3.249795864490054E9
-859.5317725752509 -3175090912.1881723 -3.1750909121282306E9
-852.8428093645484 -3101539680.843277 -3.1015396807842474E9
-846.1538461538462 -3029133192.142467 -3.0291331920844254E9
-839.4648829431438 -2957862467.712062 -2.95786246765508E9
-832.7759197324415 -2887718529.1783824 -2.8877185291225295E9
-826.0869565217391 -2818692398.167749 -2.818692398113092E9
-819.3979933110368 -2750775096.306483 -2.750775096253084E9
-812.7090301003344 -2683957645.2209063 -2.6839576451688232E9
-806.0200668896321 -2618231066.5373383 -2.61823106648663E9
-799.3311036789298 -2553586381.8821015 -2.55358638183282E9
-792.6421404682275 -2490014612.881516 -2.490014612833711E9
-785.9531772575251 -2427506781.1619015 -2.4275067811156225E9
-779.2642140468228 -2366053908.3495803 -2.3660539083048725E9
-772.5752508361204 -2305647016.070873 -2.305647016027778E9
-765.886287625418 -2246277125.9521008 -2.246277125910659E9
-759.1973244147157 -2187935259.619584 -2.1879352595798335E9
-752.5083612040133 -2130612438.6996439 -2.130612438661619E9
-745.819397993311 -2074299684.8186014 -2.0742996847823358E9
-739.1304347826087 -2018988019.6027782 -2.018988019568303E9
-732.4414715719063 -1964668464.678493 -1.9646684646458356E9
-725.752508361204 -1911332041.6720695 -1.9113320416412578E9
-719.0635451505017 -1858969772.2098267 -1.8589697721808841E9
-712.3745819397993 -1807572677.9180858 -1.8075726778910356E9
-705.685618729097 -1757131780.4231677 -1.7571317803980308E9
-698.9966555183946 -1707638101.351394 -1.7076381013281884E9
-692.3076923076924 -1659082662.3290856 -1.659082662307829E9
-685.6187290969899 -1611456484.9825616 -1.611456484963269E9
-678.9297658862877 -1564750590.9381456 -1.5647505909208314E9
-672.2408026755852 -1518956001.822156 -1.5189560018068311E9
-665.551839464883 -1474063739.260916 -1.4740637392475917E9
-658.8628762541806 -1430064824.880745 -1.43006482486943E9
-652.1739130434783 -1386950280.3079643 -1.386950280298666E9
-645.4849498327759 -1344711127.1688945 -1.3447111271616192E9
-638.7959866220735 -1303338387.089857 -1.303338387084609E9
-632.1070234113713 -1262823081.6971734 -1.262823081693956E9
-625.4180602006688 -1223156232.6171622 -1.2231562326159775E9
-618.7290969899666 -1184328861.4761474 -1.184328861476996E9
-612.0401337792642 -1146331989.9004476 -1.1463319899033296E9
-605.3511705685619 -1109156639.5163844 -1.1091566395212975E9
-598.6622073578595 -1072793831.9502789 -1.0727938319572204E9
-591.9732441471572 -1037234588.828452 -1.037234588837418E9
-585.2842809364549 -1002469931.7772249 -1.0024699317882105E9
-578.5953177257525 -968490882.4229171 -9.684908824359163E8
-571.9063545150502 -935288462.3918517 -9.352884624068575E8
-565.2173913043478 -902853693.3103472 -9.028536933273516E8
-558.5284280936455 -871177596.8047271 -8.711775968237209E8
-551.8394648829432 -840251194.5013102 -8.402511945222838E8
-545.1505016722408 -810065508.0264184 -8.100655080493608E8
-538.4615384615385 -780611559.0063723 -7.806115590312719E8
-531.7725752508361 -751880369.067493 -7.518803690943375E8
-525.0836120401339 -723862959.8361015 -7.238629598648778E8
-518.3946488294314 -696550352.9385178 -6.965503529692119E8
