X1 X2 cel podstawowe
-1000.0 -1000.0 4007001.0 4007000.999998451
-1000.0 -904.7619047619048 3720620.047619048 3720620.0476176236
-1000.0 -809.5238095238095 3434239.095238095 3434239.095236796
-1000.0 -714.2857142857142 3147858.1428571427 3147858.142855968
-1000.0 -619.047619047619 2861477.1904761908 2861477.1904751398
-1000.0 -523.8095238095239 2575096.2380952383 2575096.238094313
-1000.0 -428.57142857142856 2288715.2857142854 2288715.2857134845
-1000.0 -333.33333333333326 2002334.333333333 2002334.3333326569
-1000.0 -238.09523809523807 1715953.3809523808 1715953.3809518295
-1000.0 -142.8571428571429 1429572.4285714286 1429572.4285710016
-1000.0 -47.61904761904759 1143191.476190476 1143191.4761901742
-1000.0 47.619047619047706 856810.5238095234 856810.5238093461
-1000.0 142.8571428571429 570429.5714285714 570429.5714285185
-1000.0 238.09523809523807 284048.6190476191 284048.61904769094
-1000.0 333.3333333333335 -2332.3333333338 -2332.3333331372705
-1000.0 428.57142857142867 -288713.2857142859 -288713.2857139648
-1000.0 523.8095238095239 -575094.2380952382 -575094.2380947924
-1000.0 619.047619047619 -861475.1904761904 -861475.1904756199
-1000.0 714.2857142857142 -1147856.1428571427 -1147856.1428564475
-1000.0 809.5238095238096 -1434237.0952380958 -1434237.0952372756
-1000.0 904.7619047619048 -1720618.0476190478 -1720618.0476181032
-1000.0 1000.0 -2006999.0 -2006998.9999989308
-904.7619047619048 -1000.0 3539880.8185941046 3539880.8185925162
-904.7619047619048 -904.7619047619048 3280710.750566894 3280710.7505654306
-904.7619047619048 -809.5238095238095 3021540.682539683 3021540.6825383436
-904.7619047619048 -714.2857142857142 2762370.614512472 2762370.614511257
-904.7619047619048 -619.047619047619 2503200.546485261 2503200.5464841714
-904.7619047619048 -523.8095238095239 2244030.47845805 2244030.4784570853
-904.7619047619048 -428.57142857142856 1984860.4104308393 1984860.4104299988
-904.7619047619048 -333.33333333333326 1725690.3424036282 1725690.3424029127
-904.7619047619048 -238.09523809523807 1466520.2743764175 1466520.2743758266
-904.7619047619048 -142.8571428571429 1207350.2063492066 1207350.2063487405
-904.7619047619048 -47.61904761904759 948180.1383219956 948180.138321654
-904.7619047619048 47.619047619047706 689010.0702947845 689010.0702945677
-904.7619047619048 142.8571428571429 429840.0022675737 429840.0022674815
-904.7619047619048 238.09523809523807 170669.93424036293 170669.93424039552
-904.7619047619048 333.3333333333335 -88500.13378684847 -88500.13378669118
-904.7619047619048 428.57142857142867 -347670.2018140593 -347670.20181377727
-904.7619047619048 523.8095238095239 -606840.26984127 -606840.2698408633
-904.7619047619048 619.047619047619 -866010.3378684807 -866010.3378679495
-904.7619047619048 714.2857142857142 -1125180.4058956914 -1125180.4058950355
-904.7619047619048 809.5238095238096 -1384350.473922903 -1384350.4739221223
-904.7619047619048 904.7619047619048 -1643520.5419501138 -1643520.5419492084
-904.7619047619048 1000.0 -1902690.6099773245 -1902690.6099762945
-809.5238095238095 -1000.0 3090901.22675737 3090901.2267557424
-809.5238095238095 -904.7619047619048 2858942.0430839 2858942.043082398
-809.5238095238095 -809.5238095238095 2626982.859410431 2626982.859409053
-809.5238095238095 -714.2857142857142 2395023.675736961 2395023.675735708
-809.5238095238095 -619.047619047619 2163064.492063492 2163064.4920623633
-809.5238095238095 -523.8095238095239 1931105.3083900227 1931105.3083890188
-809.5238095238095 -428.57142857142856 1699146.1247165534 1699146.1247156737
-809.5238095238095 -333.33333333333326 1467186.9410430838 1467186.941042329
-809.5238095238095 -238.09523809523807 1235227.7573696144 1235227.7573689846
-809.5238095238095 -142.8571428571429 1003268.5736961452 1003268.57369564
-809.5238095238095 -47.61904761904759 771309.3900226757 771309.3900222951
-809.5238095238095 47.619047619047706 539350.2063492062 539350.2063489502
-809.5238095238095 142.8571428571429 307391.0226757369 307391.0226756056
-809.5238095238095 238.09523809523807 75431.83900226765 75431.839002261
-809.5238095238095 333.3333333333335 -156527.3446712021 -156527.34467108414
-809.5238095238095 428.57142857142867 -388486.52834467136 -388486.52834442875
-809.5238095238095 523.8095238095239 -620445.7120181405 -620445.7120177733
-809.5238095238095 619.047619047619 -852404.8956916098 -852404.895691118
-809.5238095238095 714.2857142857142 -1084364.079365079 -1084364.0793644625
-809.5238095238095 809.5238095238096 -1316323.2630385489 -1316323.2630378075
-809.5238095238095 904.7619047619048 -1548282.446712018 -1548282.446711152
-809.5238095238095 1000.0 -1780241.6303854876 -1780241.6303844964
-714.2857142857142 -1000.0 2660062.2244897955 2660062.224488129
-714.2857142857142 -904.7619047619048 2455313.925170068 2455313.925168526
-714.2857142857142 -809.5238095238095 2250565.6258503394 2250565.625848923
-714.2857142857142 -714.2857142857142 2045817.3265306118 2045817.3265293194
-714.2857142857142 -619.047619047619 1841069.027210884 1841069.0272097164
-714.2857142857142 -523.8095238095239 1636320.7278911564 1636320.7278901131
-714.2857142857142 -428.57142857142856 1431572.4285714284 1431572.42857051
-714.2857142857142 -333.33333333333326 1226824.1292517004 1226824.1292509064
-714.2857142857142 -238.09523809523807 1022075.8299319725 1022075.8299313035
-714.2857142857142 -142.8571428571429 817327.5306122449 817327.5306117004
-714.2857142857142 -47.61904761904759 612579.2312925169 612579.231292097
-714.2857142857142 47.619047619047706 407830.9319727888 407830.9319724937
-714.2857142857142 142.8571428571429 203082.63265306107 203082.63265289064
-714.2857142857142 238.09523809523807 -1665.6666666666665 -1665.6666667124373
-714.2857142857142 333.3333333333335 -206413.96598639493 -206413.965986316
-714.2857142857142 428.57142857142867 -411162.26530612266 -411162.2653059191
-714.2857142857142 523.8095238095239 -615910.5646258503 -615910.5646255221
-714.2857142857142 619.047619047619 -820658.8639455781 -820658.8639451251
-714.2857142857142 714.2857142857142 -1025407.1632653058 -1025407.1632647284
-714.2857142857142 809.5238095238096 -1230155.4625850343 -1230155.462584332
-714.2857142857142 904.7619047619048 -1434903.761904762 -1434903.761903935
-714.2857142857142 1000.0 -1639652.0612244897 -1639652.0612235381
-619.047619047619 -1000.0 2247363.811791383 2247363.8117896775
-619.047619047619 -904.7619047619048 2069826.3968253967 2069826.3968238158
-619.047619047619 -809.5238095238095 1892288.9818594104 1892288.981857954
-619.047619047619 -714.2857142857142 1714751.566893424 1714751.566892092
-619.047619047619 -619.047619047619 1537214.1519274374 1537214.1519262306
-619.047619047619 -523.8095238095239 1359676.7369614514 1359676.7369603692
-619.047619047619 -428.57142857142856 1182139.3219954646 1182139.3219945072
-619.047619047619 -333.33333333333326 1004601.9070294783 1004601.9070286454
-619.047619047619 -238.09523809523807 827064.492063492 827064.4920627837
-619.047619047619 -142.8571428571429 649527.0770975057 649527.0770969221
-619.047619047619 -47.61904761904759 471989.6621315192 471989.6621310604
-619.047619047619 47.619047619047706 294452.2471655327 294452.24716519855
-619.047619047619 142.8571428571429 116914.83219954639 116914.8321993369
-619.047619047619 238.09523809523807 -60622.58276643992 -60622.58276652472
-619.047619047619 333.3333333333335 -238159.9977324266 -238159.99773238675
-619.047619047619 428.57142857142867 -415697.4126984129 -415697.4126982483
-619.047619047619 523.8095238095239 -593234.8276643992 -593234.8276641099
-619.047619047619 619.047619047619 -770772.2426303856 -770772.2426299716
-619.047619047619 714.2857142857142 -948309.6575963717 -948309.6575958332
-619.047619047619 809.5238095238096 -1125847.0725623586 -1125847.0725616952
-619.047619047619 904.7619047619048 -1303384.4875283448 -1303384.4875275567
-619.047619047619 1000.0 -1480921.902494331 -1480921.9024934184
-523.8095238095239 -1000.0 1852805.9886621316 1852805.988660387
-523.8095238095239 -904.7619047619048 1702479.4580498866 1702479.458048267
-523.8095238095239 -809.5238095238095 1552152.927437642 1552152.9274361467
-523.8095238095239 -714.2857142857142 1401826.396825397 1401826.3968240262
-523.8095238095239 -619.047619047619 1251499.866213152 1251499.866211906
-523.8095238095239 -523.8095238095239 1101173.3356009072 1101173.335599786
-523.8095238095239 -428.57142857142856 950846.8049886622 950846.8049876656
-523.8095238095239 -333.33333333333326 800520.2743764172 800520.2743755453
-523.8095238095239 -238.09523809523807 650193.7437641723 650193.7437634252
-523.8095238095239 -142.8571428571429 499867.2131519276 499867.213151305
-523.8095238095239 -47.61904761904759 349540.68253968254 349540.6825391847
-523.8095238095239 47.619047619047706 199214.15192743752 199214.15192706438
-523.8095238095239 142.8571428571429 48887.62131519269 48887.62131494422
-523.8095238095239 238.09523809523807 -101438.90929705212 -101438.90929717594
-523.8095238095239 333.3333333333335 -251765.4399092973 -251765.43990929643
-523.8095238095239 428.57142857142867 -402091.9705215421 -402091.9705214166
-523.8095238095239 523.8095238095239 -552418.5011337869 -552418.5011335367
-523.8095238095239 619.047619047619 -702745.0317460318 -702745.0317456569
-523.8095238095239 714.2857142857142 -853071.5623582766 -853071.562357777
-523.8095238095239 809.5238095238096 -1003398.0929705217 -1003398.0929698976
-523.8095238095239 904.7619047619048 -1153724.6235827666 -1153724.6235820176
-523.8095238095239 1000.0 -1304051.1541950116 -1304051.1541941378
-428.57142857142856 -1000.0 1476388.7551020407 1476388.7551002572
-428.57142857142856 -904.7619047619048 1353273.1088435373 1353273.1088418788
-428.57142857142856 -809.5238095238095 1230157.462585034 1230157.4625835
-428.57142857142856 -714.2857142857142 1107041.8163265307 1107041.8163251209
-428.57142857142856 -619.047619047619 983926.1700680273 983926.1700667425
-428.57142857142856 -523.8095238095239 860810.5238095239 860810.5238083636
-428.57142857142856 -428.57142857142856 737694.8775510204 737694.877549985
-428.57142857142856 -333.33333333333326 614579.231292517 614579.231291606
-428.57142857142856 -238.09523809523807 491463.5850340136 491463.5850332274
-428.57142857142856 -142.8571428571429 368347.93877551024 368347.93877484876
-428.57142857142856 -47.61904761904759 245232.29251700678 245232.29251646996
-428.57142857142856 47.619047619047706 122116.64625850327 122116.64625809118
-428.57142857142856 142.8571428571429 -999.0000000000584 -999.0000002874876
-428.57142857142856 238.09523809523807 -124114.64625850342 -124114.64625866614
-428.57142857142856 333.3333333333335 -247230.29251700707 -247230.2925170451
-428.57142857142856 428.57142857142867 -370345.93877551035 -370345.9387754237
-428.57142857142856 523.8095238095239 -493461.5850340137 -493461.58503380243
-428.57142857142856 619.047619047619 -616577.231292517 -616577.2312921811
-428.57142857142856 714.2857142857142 -739692.8775510204 -739692.8775505597
-428.57142857142856 809.5238095238096 -862808.5238095239 -862808.5238089387
-428.57142857142856 904.7619047619048 -985924.1700680273 -985924.1700673173
-428.57142857142856 1000.0 -1109039.8163265307 -1109039.816325696
-333.33333333333326 -1000.0 1118112.1111111108 1118112.1111092884
-333.33333333333326 -904.7619047619048 1022207.349206349 1022207.3492046513
-333.33333333333326 -809.5238095238095 926302.5873015871 926302.587300014
-333.33333333333326 -714.2857142857142 830397.8253968251 830397.8253953768
-333.33333333333326 -619.047619047619 734493.0634920633 734493.0634907396
-333.33333333333326 -523.8095238095239 638588.3015873014 638588.3015861025
-333.33333333333326 -428.57142857142856 542683.5396825395 542683.5396814651
-333.33333333333326 -333.33333333333326 446778.7777777776 446778.7777768279
-333.33333333333326 -238.09523809523807 350874.0158730158 350874.01587219076
-333.33333333333326 -142.8571428571429 254969.25396825394 254969.2539675536
-333.33333333333326 -47.61904761904759 159064.49206349198 159064.49206291634
-333.33333333333326 47.619047619047706 63159.73015873003 63159.73015827906
-333.33333333333326 142.8571428571429 -32745.031746031804 -32745.031746358087
-333.33333333333326 238.09523809523807 -128649.79365079362 -128649.79365099524
-333.33333333333326 333.3333333333335 -224554.5555555557 -224554.55555563263
-333.33333333333326 428.57142857142867 -320459.3174603175 -320459.3174602698
-333.33333333333326 523.8095238095239 -416364.07936507935 -416364.07936490694
-333.33333333333326 619.047619047619 -512268.8412698412 -512268.8412695441
-333.33333333333326 714.2857142857142 -608173.6031746031 -608173.6031741812
-333.33333333333326 809.5238095238096 -704078.3650793651 -704078.3650788186
-333.33333333333326 904.7619047619048 -799983.126984127 -799983.1269834558
-333.33333333333326 1000.0 -895887.8888888888 -895887.888888093
-238.09523809523807 -1000.0 777976.0566893423 777976.0566874811
-238.09523809523807 -904.7619047619048 709282.179138322 709282.1791365854
-238.09523809523807 -809.5238095238095 640588.3015873014 640588.3015856897
-238.09523809523807 -714.2857142857142 571894.4240362811 571894.4240347939
-238.09523809523807 -619.047619047619 503200.5464852607 503200.5464838982
-238.09523809523807 -523.8095238095239 434506.66893424036 434506.6689330025
-238.09523809523807 -428.57142857142856 365812.7913832199 365812.7913821068
-238.09523809523807 -333.33333333333326 297118.91383219947 297118.913831211
-238.09523809523807 -238.09523809523807 228425.03628117908 228425.0362803153
-238.09523809523807 -142.8571428571429 159731.15873015873 159731.15872941964
-238.09523809523807 -47.61904761904759 91037.28117913828 91037.28117852384
-238.09523809523807 47.619047619047706 22343.40362811784 22343.40362762809
-238.09523809523807 142.8571428571429 -46350.473922902514 -46350.47392326759
-238.09523809523807 238.09523809523807 -115044.35147392288 -115044.35147416327
-238.09523809523807 333.3333333333335 -183738.22902494343 -183738.22902505915
-238.09523809523807 428.57142857142867 -252432.1065759638 -252432.10657595482
-238.09523809523807 523.8095238095239 -321125.98412698414 -321125.9841268505
-238.09523809523807 619.047619047619 -389819.8616780045 -389819.8616777462
-238.09523809523807 714.2857142857142 -458513.73922902485 -458513.73922864185
-238.09523809523807 809.5238095238096 -527207.6167800454 -527207.6167795378
-238.09523809523807 904.7619047619048 -595901.4943310657 -595901.4943304334
-238.09523809523807 1000.0 -664595.3718820862 -664595.3718813291
-142.8571428571429 -1000.0 455980.59183673485 455980.5918348349
-142.8571428571429 -904.7619047619048 414497.5986394559 414497.59863768064
-142.8571428571429 -809.5238095238095 373014.605442177 373014.6054405264
-142.8571428571429 -714.2857142857142 331531.61224489805 331531.61224337213
-142.8571428571429 -619.047619047619 290048.6190476191 290048.6190462179
-142.8571428571429 -523.8095238095239 248565.6258503402 248565.62584906368
-142.8571428571429 -428.57142857142856 207082.63265306127 207082.6326519094
-142.8571428571429 -333.33333333333326 165599.63945578234 165599.63945475512
-142.8571428571429 -238.09523809523807 124116.64625850342 124116.6462576009
-142.8571428571429 -142.8571428571429 82633.65306122453 82633.6530604467
-142.8571428571429 -47.61904761904759 41150.659863945584 41150.65986329243
-142.8571428571429 47.619047619047706 -332.3333333333667 -332.3333338618404
-142.8571428571429 142.8571428571429 -41815.32653061226 -41815.326531016064
-142.8571428571429 238.09523809523807 -83298.31972789117 -83298.31972817027
-142.8571428571429 333.3333333333335 -124781.31292517016 -124781.3129253246
-142.8571428571429 428.57142857142867 -166264.30612244905 -166264.30612247883
-142.8571428571429 523.8095238095239 -207747.29931972796 -207747.29931963302
-142.8571428571429 619.047619047619 -249230.29251700686 -249230.29251678725
-142.8571428571429 714.2857142857142 -290713.28571428574 -290713.28571394144
-142.8571428571429 809.5238095238096 -332196.27891156473 -332196.2789110958
-142.8571428571429 904.7619047619048 -373679.2721088436 -373679.27210825
-142.8571428571429 1000.0 -415162.26530612254 -415162.2653054042
-47.61904761904759 -1000.0 152125.7165532879 152125.71655134932
-47.61904761904759 -904.7619047619048 137853.6077097505 137853.6077079366
-47.61904761904759 -809.5238095238095 123581.49886621308 123581.49886452383
-47.61904761904759 -714.2857142857142 109309.39002267567 109309.39002111112
-47.61904761904759 -619.047619047619 95037.28117913826 95037.2811776984
