X1 X2 cel rozszerzone
-10.0 -10.0 471.0 470.9978709599599
-10.0 -9.047619047619047 435.76190476190476 435.7600666272386
-10.0 -8.095238095238095 400.5238095238095 400.52226229451725
-10.0 -7.142857142857143 365.28571428571433 365.2844579617959
-10.0 -6.190476190476191 330.04761904761904 330.04665362907457
-10.0 -5.238095238095238 294.8095238095238 294.80884929635323
-10.0 -4.2857142857142865 259.5714285714286 259.5710449636319
-10.0 -3.333333333333334 224.33333333333334 224.3332406309106
-10.0 -2.3809523809523814 189.09523809523813 189.0954362981892
-10.0 -1.4285714285714288 153.85714285714286 153.8576319654679
-10.0 -0.4761904761904763 118.61904761904762 118.61982763274654
-10.0 0.4761904761904763 83.38095238095238 83.38202330002521
-10.0 1.428571428571427 48.142857142857196 48.14421896730391
-10.0 2.3809523809523796 12.904761904761955 12.90641463458257
-10.0 3.333333333333332 -22.333333333333297 -22.33138969813878
-10.0 4.285714285714285 -57.57142857142855 -57.569194030860125
-10.0 5.238095238095237 -92.80952380952377 -92.80699836358146
-10.0 6.19047619047619 -128.04761904761904 -128.0448026963028
-10.0 7.142857142857142 -163.28571428571428 -163.28260702902412
-10.0 8.095238095238095 -198.5238095238095 -198.52041136174552
-10.0 9.047619047619047 -233.76190476190476 -233.75821569446686
-10.0 10.0 -269.0 -268.9960200271882
-9.047619047619047 -10.0 424.2879818594105 424.28585281937035
-9.047619047619047 -9.047619047619047 391.77097505668934 391.76913692202316
-9.047619047619047 -8.095238095238095 359.25396825396825 359.2524210246759
-9.047619047619047 -7.142857142857143 326.73696145124717 326.7357051273288
-9.047619047619047 -6.190476190476191 294.2199546485261 294.21898922998156
-9.047619047619047 -5.238095238095238 261.702947845805 261.7022733326344
-9.047619047619047 -4.2857142857142865 229.18594104308391 229.18555743528725
-9.047619047619047 -3.333333333333334 196.66893424036286 196.66884153794007
-9.047619047619047 -2.3809523809523814 164.15192743764175 164.15212564059283
-9.047619047619047 -1.4285714285714288 131.63492063492066 131.63540974324565
-9.047619047619047 -0.4761904761904763 99.11791383219955 99.11869384589848
-9.047619047619047 0.4761904761904763 66.60090702947846 66.60197794855128
-9.047619047619047 1.428571428571427 34.08390022675742 34.08526205120413
-9.047619047619047 2.3809523809523796 1.566893424036337 1.5685461538569374
-9.047619047619047 3.333333333333332 -30.950113378684758 -30.948169743490254
-9.047619047619047 4.285714285714285 -63.467120181405846 -63.464885640837444
-9.047619047619047 5.238095238095237 -95.98412698412696 -95.98160153818463
-9.047619047619047 6.19047619047619 -128.50113378684802 -128.49831743553182
-9.047619047619047 7.142857142857142 -161.01814058956913 -161.015033332879
-9.047619047619047 8.095238095238095 -193.5351473922902 -193.53174923022624
-9.047619047619047 9.047619047619047 -226.05215419501133 -226.04846512757342
-9.047619047619047 10.0 -258.5691609977324 -258.5651810249206
-8.095238095238095 -10.0 379.39002267573693 379.38789363569686
-8.095238095238095 -9.047619047619047 349.59410430838994 349.59226617372383
-8.095238095238095 -8.095238095238095 319.7981859410431 319.7966387117508
-8.095238095238095 -7.142857142857143 290.00226757369614 290.0010112497777
-8.095238095238095 -6.190476190476191 260.2063492063492 260.2053837878047
-8.095238095238095 -5.238095238095238 230.41043083900226 230.40975632583167
-8.095238095238095 -4.2857142857142865 200.61451247165533 200.6141288638587
-8.095238095238095 -3.333333333333334 170.8185941043084 170.8185014018856
-8.095238095238095 -2.3809523809523814 141.02267573696145 141.02287393991259
-8.095238095238095 -1.4285714285714288 111.22675736961452 111.22724647793953
-8.095238095238095 -0.4761904761904763 81.43083900226756 81.43161901596649
-8.095238095238095 0.4761904761904763 51.634920634920626 51.635991553993435
-8.095238095238095 1.428571428571427 21.839002267573736 21.84036409202045
-8.095238095238095 2.3809523809523796 -7.956916099773203 -7.955263369952588
-8.095238095238095 3.333333333333332 -37.75283446712015 -37.75089083192564
