X1 X2 cel rozszerzone
-1000.0 -1000.0 4007001.0 4006993.6667149337
-1000.0 -904.7619047619048 3720620.047619048 3720612.8345355378
-1000.0 -809.5238095238095 3434239.095238095 3434232.0023561427
-1000.0 -714.2857142857142 3147858.1428571427 3147851.1701767473
-1000.0 -619.047619047619 2861477.1904761908 2861470.337997352
-1000.0 -523.8095238095239 2575096.2380952383 2575089.5058179563
-1000.0 -428.57142857142856 2288715.2857142854 2288708.673638561
-1000.0 -333.33333333333326 2002334.333333333 2002327.8414591649
-1000.0 -238.09523809523807 1715953.3809523808 1715947.0092797698
-1000.0 -142.8571428571429 1429572.4285714286 1429566.1771003746
-1000.0 -47.61904761904759 1143191.476190476 1143185.3449209786
-1000.0 47.619047619047706 856810.5238095234 856804.512741583
-1000.0 142.8571428571429 570429.5714285714 570423.6805621878
-1000.0 238.09523809523807 284048.6190476191 284042.84838279267
-1000.0 333.3333333333335 -2332.3333333338 -2337.9837966033374
-1000.0 428.57142857142867 -288713.2857142859 -288718.8159759986
-1000.0 523.8095238095239 -575094.2380952382 -575099.6481553937
-1000.0 619.047619047619 -861475.1904761904 -861480.480334789
-1000.0 714.2857142857142 -1147856.1428571427 -1147861.312514184
-1000.0 809.5238095238096 -1434237.0952380958 -1434242.14469358
-1000.0 904.7619047619048 -1720618.0476190478 -1720622.9768729755
-1000.0 1000.0 -2006999.0 -2007003.8090523707
-904.7619047619048 -1000.0 3539880.8185941046 3539872.844484469
-904.7619047619048 -904.7619047619048 3280710.750566894 3280702.896658815
-904.7619047619048 -809.5238095238095 3021540.682539683 3021532.9488331606
-904.7619047619048 -714.2857142857142 2762370.614512472 2762363.0010075066
-904.7619047619048 -619.047619047619 2503200.546485261 2503193.053181852
-904.7619047619048 -523.8095238095239 2244030.47845805 2244023.1053561987
-904.7619047619048 -428.57142857142856 1984860.4104308393 1984853.1575305446
-904.7619047619048 -333.33333333333326 1725690.3424036282 1725683.2097048908
-904.7619047619048 -238.09523809523807 1466520.2743764175 1466513.2618792364
-904.7619047619048 -142.8571428571429 1207350.2063492066 1207343.3140535827
-904.7619047619048 -47.61904761904759 948180.1383219956 948173.3662279287
-904.7619047619048 47.619047619047706 689010.0702947845 689003.4184022746
-904.7619047619048 142.8571428571429 429840.0022675737 429833.4705766207
-904.7619047619048 238.09523809523807 170669.93424036293 170663.52275096695
-904.7619047619048 333.3333333333335 -88500.13378684847 -88506.42507468726
-904.7619047619048 428.57142857142867 -347670.2018140593 -347676.3729003411
-904.7619047619048 523.8095238095239 -606840.26984127 -606846.3207259948
-904.7619047619048 619.047619047619 -866010.3378684807 -866016.2685516486
-904.7619047619048 714.2857142857142 -1125180.4058956914 -1125186.2163773025
